parcel_id,group,variety,yield_year,yield_tn_ha,yield_lag1,alternance,CP_lag1,CH12_lag1,CU_lag1,Tmean_chill_lag1,Tmax_mean_FLOR,Tmean_mean_FLOR,Tmax_mean_CREC,Tmean_mean_CREC,ET0_sum_CREC,Tmax_mean_ENVE,Tmean_mean_ENVE,KDD35_ANN,CDD30_ANN,Tmean_mean_ANN,NDRE_repro_lag1,CIre_repro_lag1,NDVI_repro_lag1,n_repro_imgs,NDVI_CREC,NDRE_CREC,n_crec_imgs
B-6,B,Sevillana-Ascolana,2019,9.32,7.13,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.24987700000000002,0.5575535,0.32143,2.0,0.33220842857142857,0.2621252857142857,7.0
B-6,B,Sevillana-Ascolana,2020,7.73,9.32,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.255369,0.5662328000000001,0.338241,5.0,0.3423702727272727,0.27005754545454547,11.0
B-6,B,Sevillana-Ascolana,2022,12.88,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.257648,0.593032,0.351119,2.0,0.359946125,0.27912425,8.0
B-6,B,Sevillana-Ascolana,2023,5.31,12.88,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.26803475,0.62016425,0.368103125,8.0,0.3672045,0.2726807,10.0
B-6,B,Sevillana-Ascolana,2024,0.68,5.31,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.271978,0.6177969999999999,0.370901,2.0,0.362542,0.27361183333333333,6.0
B-7,B,Sevillana-Ascolana,2016,1.51,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
B-7,B,Sevillana-Ascolana,2017,5.94,1.51,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.24359,0.526775,0.311269,1.0,0.327302,0.257388,1.0
B-7,B,Sevillana-Ascolana,2018,7.45,5.94,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.2896905,0.6771229999999999,0.380057,2.0,0.370239,0.281323,1.0
B-7,B,Sevillana-Ascolana,2019,8.77,7.45,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.266174,0.5967475,0.338123,2.0,0.34476614285714285,0.27430757142857143,7.0
B-7,B,Sevillana-Ascolana,2020,8.44,8.77,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.2555562,0.5522132,0.3345478,5.0,0.3363662727272727,0.26712345454545455,11.0
B-7,B,Sevillana-Ascolana,2022,11.41,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.2689045,0.6045754999999999,0.3658445,2.0,0.364335625,0.2833535,8.0
B-7,B,Sevillana-Ascolana,2023,4.84,11.41,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.275804,0.630257875,0.38133,8.0,0.3746838,0.2790612,10.0
B-7,B,Sevillana-Ascolana,2024,0.65,4.84,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2728585,0.6113065,0.367095,2.0,0.3658136666666667,0.278568,6.0
B-8,B,Sevillana-Ascolana,2016,1.56,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
B-8,B,Sevillana-Ascolana,2017,6.18,1.56,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.231921,0.475396,0.296564,1.0,0.309294,0.241208,1.0
B-8,B,Sevillana-Ascolana,2018,8.16,6.18,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.2697675,0.5982845,0.352798,2.0,0.359963,0.275868,1.0
B-8,B,Sevillana-Ascolana,2019,9.13,8.16,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.25943499999999997,0.565134,0.32939050000000003,2.0,0.34496614285714283,0.27539042857142854,7.0
B-8,B,Sevillana-Ascolana,2020,7.35,9.13,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.26331059999999995,0.5800902,0.34809460000000003,5.0,0.36096381818181816,0.28604036363636365,11.0
B-8,B,Sevillana-Ascolana,2022,13.49,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.2666285,0.6126879999999999,0.358502,2.0,0.366631,0.287801625,8.0
B-8,B,Sevillana-Ascolana,2023,4.94,13.49,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.28949199999999997,0.683238625,0.392198125,8.0,0.3962539,0.3005016,10.0
B-8,B,Sevillana-Ascolana,2024,0.69,4.94,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2955425,0.6871240000000001,0.392223,2.0,0.3895848333333333,0.2973493333333333,6.0
C-10,C,Sevillana-Ascolana,2016,1.44,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
C-10,C,Sevillana-Ascolana,2017,5.53,1.44,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.22681,0.470793,0.293316,1.0,0.302717,0.23507,1.0
C-10,C,Sevillana-Ascolana,2018,7.03,5.53,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.264533,0.5874535,0.349742,2.0,0.359208,0.272809,1.0
C-10,C,Sevillana-Ascolana,2019,9.5,7.03,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.2548285,0.554621,0.32519149999999997,2.0,0.3373541428571429,0.2648567142857143,7.0
C-10,C,Sevillana-Ascolana,2020,8.12,9.5,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.25127259999999996,0.5365260000000001,0.3347238,5.0,0.34686181818181816,0.27149945454545454,11.0
C-10,C,Sevillana-Ascolana,2022,11.48,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.2474815,0.555118,0.3394755,2.0,0.352570375,0.270444125,8.0
C-10,C,Sevillana-Ascolana,2023,4.07,11.48,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.27798449999999997,0.654725125,0.382003,8.0,0.3864012,0.28960379999999997,10.0
C-10,C,Sevillana-Ascolana,2024,0.66,4.07,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2853295,0.6635445,0.3864865,2.0,0.3919531666666667,0.2957551666666667,6.0
C-11,C,Sevillana-Ascolana,2016,1.5,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
C-11,C,Sevillana-Ascolana,2017,5.25,1.5,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.271212,0.617726,0.345991,1.0,0.352294,0.275349,1.0
C-11,C,Sevillana-Ascolana,2018,7.1,5.25,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.28795000000000004,0.6757535,0.37970000000000004,2.0,0.382362,0.291975,1.0
C-11,C,Sevillana-Ascolana,2019,7.93,7.1,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.289446,0.6741055,0.37111400000000005,2.0,0.3671457142857143,0.28994385714285714,7.0
C-11,C,Sevillana-Ascolana,2020,8.05,7.93,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.25885980000000003,0.5616176,0.345166,5.0,0.352465,0.27783654545454545,11.0
C-11,C,Sevillana-Ascolana,2022,11.12,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.280721,0.649052,0.38241400000000003,2.0,0.3750435,0.28568375,8.0
C-11,C,Sevillana-Ascolana,2023,4.06,11.12,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.28861675,0.675110125,0.40332875,8.0,0.3890835,0.2879616,10.0
C-11,C,Sevillana-Ascolana,2024,0.64,4.06,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2858845,0.661184,0.3872015,2.0,0.39142883333333334,0.29795366666666667,6.0
C-9,C,Sevillana-Ascolana,2016,1.29,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
C-9,C,Sevillana-Ascolana,2017,6.09,1.29,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.253614,0.55653,0.324244,1.0,0.337002,0.266563,1.0
C-9,C,Sevillana-Ascolana,2018,7.06,6.09,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.2854565,0.659808,0.37095049999999996,2.0,0.365675,0.277056,1.0
C-9,C,Sevillana-Ascolana,2019,8.51,7.06,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.277028,0.6302095,0.35029299999999997,2.0,0.3482244285714286,0.27718057142857144,7.0
C-9,C,Sevillana-Ascolana,2020,7.26,8.51,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.2475794,0.5185698000000001,0.3266318,5.0,0.32499836363636364,0.2590093636363636,11.0
C-9,C,Sevillana-Ascolana,2022,10.22,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.26660249999999996,0.592305,0.3628485,2.0,0.3662475,0.283576875,8.0
C-9,C,Sevillana-Ascolana,2023,4.07,10.22,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.270925125,0.610441375,0.37601087499999997,8.0,0.3732391,0.2775452,10.0
C-9,C,Sevillana-Ascolana,2024,0.62,4.07,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.280136,0.6352805,0.374085,2.0,0.3829031666666667,0.29336216666666665,6.0
